Commission,Category,Geography,Date,Evaluation,Resignations,CumeResignations,Population
Yes,Sales,South America,01/31/13,C,1,1,9
Yes,Sales,South America,02/28/13,C,1,2,9
Yes,Sales,South America,03/31/13,C,1,3,5
Yes,Sales,South America,04/30/13,C,1,4,7
Yes,Sales,South America,05/31/13,C,1,5,5
Yes,Sales,South America,06/30/13,C,1,6,5
Yes,Sales,South America,07/31/13,C,2,8,7
Yes,Sales,South America,08/31/13,C,1,9,5
Yes,Sales,South America,09/30/13,C,1,10,2
Yes,Sales,South America,10/31/13,C,1,11,2
Yes,Sales,South America,11/30/13,C,1,12,5
Yes,Sales,South America,12/31/13,C,1,13,2
Yes,Sales,Asia,01/31/10,C,35,35,354
Yes,Sales,Asia,02/28/10,C,30,65,267
Yes,Sales,Asia,03/31/10,C,32,97,262
Yes,Sales,Asia,04/30/10,C,46,143,267
Yes,Sales,Asia,05/31/10,C,40,183,253
Yes,Sales,Asia,06/30/10,C,49,232,248
Yes,Sales,Asia,07/31/10,C,55,287,251
Yes,Sales,Asia,08/31/10,C,42,329,242
Yes,Sales,Asia,09/30/10,C,41,370,237
Yes,Sales,Asia,10/31/10,C,36,406,246
Yes,Sales,Asia,11/30/10,C,31,437,230
Yes,Sales,Asia,12/31/10,C,24,461,239
Yes,Sales,Asia,01/31/11,C,21,21,225
Yes,Sales,Asia,02/28/11,C,24,45,230
Yes,Sales,Asia,03/31/11,C,28,73,239
Yes,Sales,Asia,04/30/11,C,39,112,237
Yes,Sales,Asia,05/31/11,C,34,146,223
Yes,Sales,Asia,06/30/11,C,42,188,228
Yes,Sales,Asia,07/31/11,C,42,230,200
Yes,Sales,Asia,08/31/11,C,40,270,244
Yes,Sales,Asia,09/30/11,C,40,310,244
Yes,Sales,Asia,10/31/11,C,34,344,242
Yes,Sales,Asia,11/30/11,C,26,370,200
Yes,Sales,Asia,12/31/11,C,10,380,106
Yes,Sales,Asia,01/31/12,C,12,12,85
Yes,Sales,Asia,02/28/12,C,14,26,90
Yes,Sales,Asia,03/31/12,C,15,41,85
Yes,Sales,Asia,04/30/12,C,21,62,90
Yes,Sales,Asia,05/31/12,C,19,81,87
Yes,Sales,Asia,06/30/12,C,24,105,90
Yes,Sales,Asia,07/31/12,C,22,127,74
Yes,Sales,Asia,08/31/12,C,19,146,81
Yes,Sales,Asia,09/30/12,C,17,163,71
Yes,Sales,Asia,10/31/12,C,16,179,78
Yes,Sales,Asia,11/30/12,C,16,195,83
Yes,Sales,Asia,12/31/12,C,12,207,85
Yes,Sales,Asia,01/31/13,C,7,7,78
Yes,Sales,Asia,02/28/13,C,8,15,83
Yes,Sales,Asia,03/31/13,C,8,23,78
Yes,Sales,Asia,04/30/13,C,10,33,69
Yes,Sales,Asia,05/31/13,C,9,42,69
Yes,Sales,Asia,06/30/13,C,13,55,78
Yes,Sales,Asia,07/31/13,C,13,68,71
Yes,Sales,Asia,08/31/13,C,10,78,69
Yes,Sales,Asia,09/30/13,C,10,88,67
Yes,Sales,Asia,10/31/13,C,8,96,62
Yes,Sales,Asia,11/30/13,C,8,104,64
Yes,Sales,Asia,12/31/13,C,6,110,69
Yes,Sales,Europe,01/31/10,C,10,10,97
Yes,Sales,Europe,02/28/10,C,10,20,85
Yes,Sales,Europe,03/31/10,C,10,30,78
Yes,Sales,Europe,04/30/10,C,15,45,83
Yes,Sales,Europe,05/31/10,C,13,58,81
Yes,Sales,Europe,06/30/10,C,16,74,81
Yes,Sales,Europe,07/31/10,C,16,90,69
Yes,Sales,Europe,08/31/10,C,15,105,83
Yes,Sales,Europe,09/30/10,C,13,118,74
Yes,Sales,Europe,10/31/10,C,12,130,78
Yes,Sales,Europe,11/30/10,C,10,140,71
Yes,Sales,Europe,12/31/10,C,7,147,64
Yes,Sales,Europe,01/31/11,C,7,7,71
Yes,Sales,Europe,02/28/11,C,6,13,58
Yes,Sales,Europe,03/31/11,C,7,20,55
Yes,Sales,Europe,04/30/11,C,10,30,60
Yes,Sales,Europe,05/31/11,C,8,38,51
Yes,Sales,Europe,06/30/11,C,8,46,39
Yes,Sales,Europe,07/31/11,C,11,57,53
Yes,Sales,Europe,08/31/11,C,9,66,55
Yes,Sales,Europe,09/30/11,C,10,76,60
Yes,Sales,Europe,10/31/11,C,6,82,41
Yes,Sales,Europe,11/30/11,C,7,89,48
Yes,Sales,Europe,12/31/11,C,5,94,46
Yes,Sales,Europe,01/31/12,C,5,5,35
Yes,Sales,Europe,02/28/12,C,5,10,32
Yes,Sales,Europe,03/31/12,C,5,15,28
Yes,Sales,Europe,04/30/12,C,8,23,32
Yes,Sales,Europe,05/31/12,C,6,29,28
Yes,Sales,Europe,06/30/12,C,7,36,23
Yes,Sales,Europe,07/31/12,C,8,44,25
Yes,Sales,Europe,08/31/12,C,6,50,23
Yes,Sales,Europe,09/30/12,C,6,56,23
Yes,Sales,Europe,10/31/12,C,5,61,25
Yes,Sales,Europe,11/30/12,C,6,67,30
Yes,Sales,Europe,12/31/12,C,4,71,28
No,Development,Africa,01/31/13,C,8,8,99
No,Development,Africa,02/28/13,C,9,17,92
No,Development,Africa,03/31/13,C,10,27,99
No,Development,Africa,04/30/13,C,14,41,99
No,Development,Africa,05/31/13,C,13,54,94
No,Development,Africa,06/30/13,C,16,70,99
No,Development,Africa,07/31/13,C,19,89,101
No,Development,Africa,08/31/13,C,16,105,108
No,Development,Africa,09/30/13,C,16,121,108
No,Development,Africa,10/31/13,C,12,133,92
No,Development,Africa,11/30/13,C,10,143,85
No,Development,Africa,12/31/13,C,7,150,81
No,Development,North America,01/31/10,C,8,8,81
No,Development,North America,02/28/10,C,9,17,76
No,Development,North America,03/31/10,C,10,27,81
No,Development,North America,04/30/10,C,14,41,81
No,Development,North America,05/31/10,C,13,54,81
No,Development,North America,06/30/10,C,16,70,81
No,Development,North America,07/31/10,C,19,89,83
No,Development,North America,08/31/10,C,15,104,85
No,Development,North America,09/30/10,C,15,119,85
No,Development,North America,10/31/10,C,15,134,101
No,Development,North America,11/30/10,C,14,148,104
No,Development,North America,12/31/10,C,10,158,101
No,Development,North America,01/31/11,C,7,7,69
No,Development,North America,02/28/11,C,7,14,67
No,Development,North America,03/31/11,C,8,22,69
No,Development,North America,04/30/11,C,11,33,67
No,Development,North America,05/31/11,C,16,49,106
No,Development,North America,06/30/11,C,20,69,106
No,Development,North America,07/31/11,C,25,94,117
No,Development,North America,08/31/11,C,20,114,120
No,Development,North America,09/30/11,C,20,134,122
No,Development,North America,10/31/11,C,16,150,113
No,Development,North America,11/30/11,C,16,166,124
No,Development,North America,12/31/11,C,12,178,124
No,Development,North America,01/31/12,C,20,20,147
No,Development,North America,02/28/12,C,23,43,147
No,Development,North America,03/31/12,C,26,69,156
No,Development,North America,04/30/12,C,48,117,207
No,Development,North America,05/31/12,C,47,164,216
No,Development,North America,06/30/12,C,60,224,228
No,Development,North America,07/31/12,C,81,305,274
No,Development,North America,08/31/12,C,67,372,290
No,Development,North America,09/30/12,C,68,440,294
No,Development,North America,10/31/12,C,59,499,294
No,Development,North America,11/30/12,C,53,552,290
No,Development,North America,12/31/12,C,39,591,288
No,Development,North America,01/31/13,C,21,21,253
No,Development,North America,02/28/13,C,25,46,267
No,Development,North America,03/31/13,C,27,73,267
No,Development,North America,04/30/13,C,37,110,262
No,Development,North America,05/31/13,C,35,145,267
No,Development,North America,06/30/13,C,42,187,262
No,Development,North America,07/31/13,C,47,234,258
No,Development,North America,08/31/13,C,35,269,248
No,Development,North America,09/30/13,C,37,306,262
No,Development,North America,10/31/13,C,32,338,265
No,Development,North America,11/30/13,C,33,371,299
No,Development,North America,12/31/13,C,24,395,292
No,Development,South America,01/31/10,C,4,4,39
No,Development,South America,02/28/10,C,1,5,5
No,Development,South America,03/31/10,C,1,6,5
No,Development,South America,04/30/10,C,2,8,7
No,Development,South America,05/31/10,C,2,10,7
No,Development,South America,06/30/10,C,2,12,7
No,Development,South America,07/31/10,C,3,15,9
No,Development,South America,08/31/10,C,2,17,9
No,Development,South America,09/30/10,C,2,19,9
No,Development,South America,10/31/10,C,2,21,9
No,Development,South America,11/30/10,C,2,23,9
No,Development,South America,12/31/10,C,1,24,9
No,Development,South America,01/31/11,C,3,3,25
No,Development,South America,02/28/11,C,3,6,23
No,Development,South America,03/31/11,C,3,9,23
No,Development,South America,04/30/11,C,5,14,25
No,Development,South America,05/31/11,C,4,18,25
No,Development,South America,06/30/11,C,5,23,25
No,Development,South America,07/31/11,C,9,32,41
No,Development,South America,08/31/11,C,7,39,41
No,Development,South America,09/30/11,C,5,44,25
No,Development,South America,10/31/11,C,4,48,28
No,Development,South America,11/30/11,C,4,52,30
No,Development,South America,12/31/11,C,3,55,30
No,Development,South America,01/31/12,C,10,10,74
No,Development,South America,02/28/12,C,12,22,74
No,Development,South America,03/31/12,C,13,35,74
No,Development,South America,04/30/12,C,72,107,311
No,Development,South America,05/31/12,C,66,173,306
No,Development,South America,06/30/12,C,80,253,304
No,Development,South America,07/31/12,C,91,344,308
No,Development,South America,08/31/12,C,71,415,308
No,Development,South America,09/30/12,C,72,487,313
No,Development,South America,10/31/12,C,62,549,313
No,Development,South America,11/30/12,C,57,606,313
No,Development,South America,12/31/12,C,42,648,313
No,Development,South America,01/31/13,C,23,23,278
No,Development,South America,02/28/13,C,25,48,276
No,Development,South America,03/31/13,C,28,76,278
No,Development,South America,04/30/13,C,40,116,283
No,Development,South America,05/31/13,C,37,153,281
No,Development,South America,06/30/13,C,45,198,281
No,Development,South America,07/31/13,C,52,250,285
No,Development,South America,08/31/13,C,40,290,281
No,Development,South America,09/30/13,C,39,329,278
No,Development,South America,10/31/13,C,34,363,283
No,Development,South America,11/30/13,C,32,395,283
No,Development,South America,12/31/13,C,23,418,283
No,Development,Asia,01/31/10,C,21,21,209
No,Development,Asia,02/28/10,C,23,44,200
No,Development,Asia,03/31/10,C,25,69,200
No,Development,Asia,04/30/10,C,35,104,205
No,Development,Asia,05/31/10,C,32,136,200
No,Development,Asia,06/30/10,C,36,172,182
No,Development,Asia,07/31/10,C,40,212,179
No,Development,Asia,08/31/10,C,22,234,129
No,Development,Asia,09/30/10,C,21,255,122
No,Development,Asia,10/31/10,C,19,274,124
No,Development,Asia,11/30/10,C,17,291,127
No,Development,Asia,12/31/10,C,12,303,122
No,Development,Asia,01/31/11,C,20,20,212
No,Development,Asia,02/28/11,C,23,43,221
No,Development,Asia,03/31/11,C,25,68,214
No,Development,Asia,04/30/11,C,31,99,191
No,Development,Asia,05/31/11,C,30,129,196
No,Development,Asia,06/30/11,C,36,165,193
No,Development,Asia,07/31/11,C,40,205,191
No,Development,Asia,08/31/11,C,28,233,168
No,Development,Asia,09/30/11,C,28,261,168
No,Development,Asia,10/31/11,C,23,284,161
No,Development,Asia,11/30/11,C,21,305,159
No,Development,Asia,12/31/11,C,15,320,161
No,Development,Asia,01/31/12,C,21,21,154
No,Development,Asia,02/28/12,C,22,43,143
No,Development,Asia,03/31/12,C,39,82,230
No,Development,Asia,04/30/12,C,83,165,359
No,Development,Asia,05/31/12,C,77,242,357
No,Development,Asia,06/30/12,C,94,336,357
No,Development,Asia,07/31/12,C,125,461,423
No,Development,Asia,08/31/12,C,102,563,442
No,Development,Asia,09/30/12,C,107,670,465
No,Development,Asia,10/31/12,C,92,762,462
No,Development,Asia,11/30/12,C,85,847,465
No,Development,Asia,12/31/12,C,61,908,453
No,Development,Asia,01/31/13,C,36,36,439
No,Development,Asia,02/28/13,C,40,76,435
No,Development,Asia,03/31/13,C,43,119,423
No,Development,Asia,04/30/13,C,59,178,421
No,Development,Asia,05/31/13,C,54,232,414
No,Development,Asia,06/30/13,C,65,297,405
No,Development,Asia,07/31/13,C,73,370,405
No,Development,Asia,08/31/13,C,58,428,409
No,Development,Asia,09/30/13,C,57,485,403
No,Development,Asia,10/31/13,C,48,533,393
No,Development,Asia,11/30/13,C,44,577,391
No,Development,Asia,12/31/13,C,31,608,386
No,Development,Europe,01/31/10,C,7,7,71
No,Development,Europe,02/28/10,C,8,15,71
No,Development,Europe,03/31/10,C,8,23,64
No,Development,Europe,04/30/10,C,12,35,69
No,Development,Europe,05/31/10,C,11,46,67
No,Development,Europe,06/30/10,C,15,61,74
No,Development,Europe,07/31/10,C,17,78,74
No,Development,Europe,08/31/10,C,13,91,71
No,Development,Europe,09/30/10,C,13,104,71
No,Development,Europe,10/31/10,C,10,114,64
No,Development,Europe,11/30/10,C,8,122,53
No,Development,Europe,12/31/10,C,6,128,58
No,Development,Europe,01/31/11,C,5,5,53
No,Development,Europe,02/28/11,C,6,11,51
No,Development,Europe,03/31/11,C,6,17,48
No,Development,Europe,04/30/11,C,9,26,51
No,Development,Europe,05/31/11,C,7,33,46
No,Development,Europe,06/30/11,C,8,41,41
No,Development,Europe,07/31/11,C,10,51,44
No,Development,Europe,08/31/11,C,7,58,41
No,Development,Europe,09/30/11,C,7,65,41
No,Development,Europe,10/31/11,C,6,71,39
No,Development,Europe,11/30/11,C,6,77,41
No,Development,Europe,12/31/11,C,4,81,41
No,Development,Europe,01/31/12,C,7,7,46
No,Development,Europe,02/28/12,C,7,14,41
No,Development,Europe,03/31/12,C,7,21,39
No,Development,Europe,04/30/12,C,10,31,41
No,Development,Europe,05/31/12,C,9,40,39
No,Development,Europe,06/30/12,C,11,51,39
No,Development,Europe,07/31/12,C,16,67,53
No,Development,Europe,08/31/12,C,16,83,69
No,Development,Europe,09/30/12,C,16,99,69
No,Development,Europe,10/31/12,C,15,114,71
No,Development,Europe,11/30/12,C,13,127,71
No,Development,Europe,12/31/12,C,10,137,69
No,Distributio,Africa,01/31/13,C,26,26,313
No,Distributio,Africa,02/28/13,C,26,52,283
No,Distributio,Africa,03/31/13,C,26,78,255
No,Distributio,Africa,04/30/13,C,34,112,237
No,Distributio,Africa,05/31/13,C,31,143,237
No,Distributio,Africa,06/30/13,C,37,180,230
No,Distributio,Africa,07/31/13,C,37,217,200
No,Distributio,Africa,08/31/13,C,27,244,189
No,Distributio,Africa,09/30/13,C,26,270,182
No,Distributio,Africa,10/31/13,C,21,291,168
No,Distributio,Africa,11/30/13,C,19,310,170
No,Distributio,Africa,12/31/13,C,15,325,177
No,Distributio,North America,01/31/10,C,65,65,662
No,Distributio,North America,02/28/10,C,70,135,630
No,Distributio,North America,03/31/10,C,77,212,623
No,Distributio,North America,04/30/10,C,107,319,626
No,Distributio,North America,05/31/10,C,98,417,619
No,Distributio,North America,06/30/10,C,121,538,619
No,Distributio,North America,07/31/10,C,136,674,621
No,Distributio,North America,08/31/10,C,108,782,630
No,Distributio,North America,09/30/10,C,110,892,646
No,Distributio,North America,10/31/10,C,94,986,639
No,Distributio,North America,11/30/10,C,86,1072,639
No,Distributio,North America,12/31/10,C,62,1134,633
No,Distributio,North America,01/31/11,C,47,47,501
No,Distributio,North America,02/28/11,C,51,98,485
No,Distributio,North America,03/31/11,C,55,153,476
No,Distributio,North America,04/30/11,C,78,231,478
No,Distributio,North America,05/31/11,C,67,298,446
No,Distributio,North America,06/30/11,C,79,377,426
No,Distributio,North America,07/31/11,C,83,460,398
No,Distributio,North America,08/31/11,C,63,523,391
No,Distributio,North America,09/30/11,C,62,585,384
No,Distributio,North America,10/31/11,C,55,640,391
No,Distributio,North America,11/30/11,C,50,690,391
No,Distributio,North America,12/31/11,C,37,727,396
No,Distributio,North America,01/31/12,C,49,49,363
No,Distributio,North America,02/28/12,C,52,101,347
No,Distributio,North America,03/31/12,C,57,158,340
No,Distributio,North America,04/30/12,C,75,233,327
No,Distributio,North America,05/31/12,C,71,304,331
No,Distributio,North America,06/30/12,C,79,383,299
No,Distributio,North America,07/31/12,C,88,471,297
No,Distributio,North America,08/31/12,C,64,535,278
No,Distributio,North America,09/30/12,C,61,596,265
No,Distributio,North America,10/31/12,C,50,646,253
No,Distributio,North America,11/30/12,C,42,688,230
No,Distributio,North America,12/31/12,C,30,718,223
No,Distributio,North America,01/31/13,C,14,14,175
No,Distributio,North America,02/28/13,C,13,27,143
No,Distributio,North America,03/31/13,C,13,40,124
No,Distributio,North America,04/30/13,C,13,53,92
No,Distributio,North America,05/31/13,C,11,64,81
No,Distributio,North America,06/30/13,C,12,76,74
No,Distributio,North America,07/31/13,C,10,86,53
No,Distributio,North America,08/31/13,C,6,92,39
No,Distributio,North America,09/30/13,C,5,97,30
No,Distributio,North America,10/31/13,C,3,100,23
No,Distributio,North America,11/30/13,C,4,104,28
No,Distributio,North America,12/31/13,C,3,107,28
No,Distributio,South America,01/31/10,C,1,1,7
No,Distributio,South America,02/28/10,C,1,2,7
No,Distributio,South America,03/31/10,C,1,3,7
No,Distributio,South America,04/30/10,C,2,5,9
No,Distributio,South America,05/31/10,C,2,7,9
No,Distributio,South America,06/30/10,C,2,9,9
No,Distributio,South America,07/31/10,C,3,12,12
No,Distributio,South America,08/31/10,C,2,14,12
No,Distributio,South America,09/30/10,C,2,16,12
No,Distributio,South America,10/31/10,C,2,18,12
No,Distributio,South America,11/30/10,C,2,20,12
No,Distributio,South America,12/31/10,C,2,22,12
No,Distributio,South America,01/31/11,C,2,2,16
No,Distributio,South America,02/28/11,C,2,4,18
No,Distributio,South America,03/31/11,C,3,7,18
No,Distributio,South America,04/30/11,C,4,11,21
No,Distributio,South America,05/31/11,C,4,15,21
No,Distributio,South America,06/30/11,C,4,19,21
No,Distributio,South America,07/31/11,C,7,26,30
No,Distributio,South America,08/31/11,C,6,32,35
No,Distributio,South America,09/30/11,C,6,38,37
No,Distributio,South America,10/31/11,C,6,44,37
No,Distributio,South America,11/30/11,C,5,49,35
No,Distributio,South America,12/31/11,C,4,53,35
No,Distributio,South America,01/31/12,C,5,5,37
No,Distributio,South America,02/28/12,C,6,11,37
No,Distributio,South America,03/31/12,C,7,18,37
No,Distributio,South America,04/30/12,C,15,33,62
No,Distributio,South America,05/31/12,C,13,46,58
No,Distributio,South America,06/30/12,C,16,62,58
No,Distributio,South America,07/31/12,C,19,81,64
No,Distributio,South America,08/31/12,C,12,93,51
No,Distributio,South America,09/30/12,C,11,104,46
No,Distributio,South America,10/31/12,C,8,112,39
No,Distributio,South America,11/30/12,C,7,119,37
No,Distributio,South America,12/31/12,C,5,124,37
No,Distributio,South America,01/31/13,C,3,3,37
No,Distributio,South America,02/28/13,C,3,6,30
No,Distributio,South America,03/31/13,C,3,9,28
No,Distributio,South America,04/30/13,C,4,13,25
No,Distributio,South America,05/31/13,C,4,17,25
No,Distributio,South America,06/30/13,C,5,22,25
No,Distributio,South America,07/31/13,C,2,24,7
No,Distributio,South America,08/31/13,C,1,25,5
No,Distributio,South America,09/30/13,C,1,26,5
No,Distributio,South America,10/31/13,C,1,27,5
No,Distributio,South America,11/30/13,C,1,28,5
No,Distributio,South America,12/31/13,C,1,29,5
No,Distributio,Asia,01/31/10,C,53,53,538
No,Distributio,Asia,02/28/10,C,59,112,536
No,Distributio,Asia,03/31/10,C,66,178,534
No,Distributio,Asia,04/30/10,C,90,268,524
No,Distributio,Asia,05/31/10,C,83,351,524
No,Distributio,Asia,06/30/10,C,105,456,538
No,Distributio,Asia,07/31/10,C,116,572,531
No,Distributio,Asia,08/31/10,C,88,660,518
No,Distributio,Asia,09/30/10,C,88,748,515
No,Distributio,Asia,10/31/10,C,74,822,501
No,Distributio,Asia,11/30/10,C,67,889,495
No,Distributio,Asia,12/31/10,C,48,937,481
No,Distributio,Asia,01/31/11,C,32,32,343
No,Distributio,Asia,02/28/11,C,36,68,345
No,Distributio,Asia,03/31/11,C,39,107,331
No,Distributio,Asia,04/30/11,C,53,160,329
No,Distributio,Asia,05/31/11,C,44,204,290
No,Distributio,Asia,06/30/11,C,53,257,288
No,Distributio,Asia,07/31/11,C,57,314,271
No,Distributio,Asia,08/31/11,C,43,357,267
No,Distributio,Asia,09/30/11,C,43,400,262
No,Distributio,Asia,10/31/11,C,37,437,262
No,Distributio,Asia,11/30/11,C,33,470,260
No,Distributio,Asia,12/31/11,C,24,494,253
No,Distributio,Asia,01/31/12,C,33,33,244
No,Distributio,Asia,02/28/12,C,34,67,221
No,Distributio,Asia,03/31/12,C,33,100,198
No,Distributio,Asia,04/30/12,C,37,137,159
No,Distributio,Asia,05/31/12,C,35,172,161
No,Distributio,Asia,06/30/12,C,38,210,143
No,Distributio,Asia,07/31/12,C,40,250,133
No,Distributio,Asia,08/31/12,C,31,281,131
No,Distributio,Asia,09/30/12,C,31,312,131
No,Distributio,Asia,10/31/12,C,25,337,122
No,Distributio,Asia,11/30/12,C,22,359,117
No,Distributio,Asia,12/31/12,C,15,374,106
No,Distributio,Asia,01/31/13,C,14,14,170
No,Distributio,Asia,02/28/13,C,14,28,147
No,Distributio,Asia,03/31/13,C,13,41,124
No,Distributio,Asia,04/30/13,C,17,58,117
No,Distributio,Asia,05/31/13,C,16,74,122
No,Distributio,Asia,06/30/13,C,20,94,122
No,Distributio,Asia,07/31/13,C,19,113,101
No,Distributio,Asia,08/31/13,C,14,127,97
No,Distributio,Asia,09/30/13,C,13,140,92
No,Distributio,Asia,10/31/13,C,11,151,85
No,Distributio,Asia,11/30/13,C,10,161,83
No,Distributio,Asia,12/31/13,C,7,168,85
No,Distributio,Europe,01/31/10,C,39,39,393
No,Distributio,Europe,02/28/10,C,44,83,396
No,Distributio,Europe,03/31/10,C,48,131,393
No,Distributio,Europe,04/30/10,C,65,196,377
No,Distributio,Europe,05/31/10,C,61,257,382
No,Distributio,Europe,06/30/10,C,74,331,377
No,Distributio,Europe,07/31/10,C,86,417,391
No,Distributio,Europe,08/31/10,C,67,484,391
No,Distributio,Europe,09/30/10,C,67,551,393
No,Distributio,Europe,10/31/10,C,59,610,403
No,Distributio,Europe,11/30/10,C,57,667,423
No,Distributio,Europe,12/31/10,C,42,709,421
No,Distributio,Europe,01/31/11,C,31,31,324
No,Distributio,Europe,02/28/11,C,33,64,313
No,Distributio,Europe,03/31/11,C,36,100,306
No,Distributio,Europe,04/30/11,C,49,149,299
No,Distributio,Europe,05/31/11,C,46,195,306
No,Distributio,Europe,06/30/11,C,56,251,304
No,Distributio,Europe,07/31/11,C,58,309,276
No,Distributio,Europe,08/31/11,C,44,353,269
No,Distributio,Europe,09/30/11,C,43,396,262
No,Distributio,Europe,10/31/11,C,35,431,251
No,Distributio,Europe,11/30/11,C,32,463,251
No,Distributio,Europe,12/31/11,C,23,486,244
No,Distributio,Europe,01/31/12,C,32,32,235
No,Distributio,Europe,02/28/12,C,33,65,219
No,Distributio,Europe,03/31/12,C,33,98,196
No,Distributio,Europe,04/30/12,C,42,140,179
No,Distributio,Europe,05/31/12,C,34,174,159
No,Distributio,Europe,06/30/12,C,42,216,159
No,Distributio,Europe,07/31/12,C,45,261,152
No,Distributio,Europe,08/31/12,C,32,293,136
No,Distributio,Europe,09/30/12,C,30,323,127
No,Distributio,Europe,10/31/12,C,25,348,124
No,Distributio,Europe,11/30/12,C,25,373,133
No,Distributio,Europe,12/31/12,C,17,390,124
No,Human Resou,Africa,01/31/13,C,1,1,9
No,Human Resou,Africa,02/28/13,C,1,2,7
No,Human Resou,Africa,03/31/13,C,1,3,7
No,Human Resou,Africa,04/30/13,C,1,4,7
No,Human Resou,Africa,05/31/13,C,1,5,5
No,Human Resou,Africa,06/30/13,C,1,6,5
No,Human Resou,Africa,07/31/13,C,1,7,5
No,Human Resou,Africa,08/31/13,C,1,8,5
No,Human Resou,Africa,09/30/13,C,1,9,2
No,Human Resou,Africa,10/31/13,C,1,10,2
No,Human Resou,Africa,11/30/13,C,1,11,2
No,Human Resou,Africa,12/31/13,C,1,12,2
No,Human Resou,North America,01/31/10,C,2,2,18
No,Human Resou,North America,02/28/10,C,3,5,25
No,Human Resou,North America,03/31/10,C,3,8,23
No,Human Resou,North America,04/30/10,C,8,16,44
No,Human Resou,North America,05/31/10,C,8,24,46
No,Human Resou,North America,06/30/10,C,11,35,53
No,Human Resou,North America,07/31/10,C,14,49,62
No,Human Resou,North America,08/31/10,C,11,60,62
No,Human Resou,North America,09/30/10,C,11,71,64
No,Human Resou,North America,10/31/10,C,9,80,55
No,Human Resou,North America,11/30/10,C,9,89,60
No,Human Resou,North America,12/31/10,C,7,96,62
No,Human Resou,North America,01/31/11,C,9,9,97
No,Human Resou,North America,02/28/11,C,10,19,94
No,Human Resou,North America,03/31/11,C,12,31,97
No,Human Resou,North America,04/30/11,C,16,47,99
No,Human Resou,North America,05/31/11,C,17,64,110
No,Human Resou,North America,06/30/11,C,21,85,113
No,Human Resou,North America,07/31/11,C,24,109,113
No,Human Resou,North America,08/31/11,C,18,127,108
No,Human Resou,North America,09/30/11,C,19,146,113
No,Human Resou,North America,10/31/11,C,16,162,113
No,Human Resou,North America,11/30/11,C,14,176,106
No,Human Resou,North America,12/31/11,C,10,186,106
No,Human Resou,North America,01/31/12,C,16,16,113
No,Human Resou,North America,02/28/12,C,16,32,104
No,Human Resou,North America,03/31/12,C,18,50,108
No,Human Resou,North America,04/30/12,C,24,74,101
No,Human Resou,North America,05/31/12,C,24,98,108
No,Human Resou,North America,06/30/12,C,29,127,108
No,Human Resou,North America,07/31/12,C,25,152,85
No,Human Resou,North America,08/31/12,C,19,171,81
No,Human Resou,North America,09/30/12,C,18,189,76
No,Human Resou,North America,10/31/12,C,12,201,60
No,Human Resou,North America,11/30/12,C,12,213,64
No,Human Resou,North America,12/31/12,C,9,222,62
No,Human Resou,North America,01/31/13,C,5,5,51
No,Human Resou,North America,02/28/13,C,6,11,62
No,Human Resou,North America,03/31/13,C,6,17,55
No,Human Resou,North America,04/30/13,C,10,27,69
No,Human Resou,North America,05/31/13,C,9,36,62
No,Human Resou,North America,06/30/13,C,11,47,64
No,Human Resou,North America,07/31/13,C,13,60,71
No,Human Resou,North America,08/31/13,C,11,71,74
No,Human Resou,North America,09/30/13,C,11,82,74
No,Human Resou,North America,10/31/13,C,9,91,69
No,Human Resou,North America,11/30/13,C,3,94,25
No,Human Resou,North America,12/31/13,C,3,97,28
No,Human Resou,South America,01/31/10,C,1,1,7
No,Human Resou,South America,02/28/10,C,1,2,5
No,Human Resou,South America,03/31/10,C,1,3,2
No,Human Resou,South America,04/30/10,C,3,6,14
No,Human Resou,South America,05/31/10,C,3,9,14
No,Human Resou,South America,06/30/10,C,3,12,14
No,Human Resou,South America,07/31/10,C,12,24,51
No,Human Resou,South America,08/31/10,C,9,33,51
No,Human Resou,South America,09/30/10,C,9,42,48
No,Human Resou,South America,10/31/10,C,8,50,51
No,Human Resou,South America,11/30/10,C,7,57,51
No,Human Resou,South America,12/31/10,C,5,62,51
No,Human Resou,South America,01/31/11,C,5,5,48
No,Human Resou,South America,02/28/11,C,6,11,48
No,Human Resou,South America,03/31/11,C,6,17,48
No,Human Resou,South America,04/30/11,C,1,18,2
No,Human Resou,South America,05/31/11,C,1,19,2
No,Human Resou,South America,06/30/11,C,1,20,2
No,Human Resou,South America,07/31/11,C,1,21,2
No,Human Resou,South America,08/31/11,C,1,22,2
No,Human Resou,South America,09/30/11,C,1,23,2
No,Human Resou,South America,10/31/11,C,1,24,2
No,Human Resou,South America,11/30/11,C,1,25,2
No,Human Resou,South America,12/31/11,C,1,26,2
No,Human Resou,South America,01/31/12,C,1,1,2
No,Human Resou,South America,02/28/12,C,1,2,2
No,Human Resou,South America,03/31/12,C,1,3,5
No,Human Resou,South America,04/30/12,C,2,5,5
No,Human Resou,South America,05/31/12,C,1,6,5
No,Human Resou,South America,06/30/12,C,2,8,5
No,Human Resou,South America,07/31/12,C,1,9,2
No,Human Resou,South America,08/31/12,C,2,11,5
No,Human Resou,South America,09/30/12,C,2,13,5
No,Human Resou,South America,10/31/12,C,1,14,5
No,Human Resou,South America,11/30/12,C,1,15,5
No,Human Resou,South America,12/31/12,C,1,16,5
No,Human Resou,South America,01/31/13,C,1,1,9
